CountryCode,DisplayName,region,Level,ProjYear,variable,line,old.PovertyLine,old.value,PovertyLine,value,PovertyLine_2,value_2,diff,diff2
ETH,Ethiopia,SSA,National,2018,HeadCount,LPL,3.2,0.5770096,3.642544,0.5502602,3.988921,0.6309117,-0.0267494,0.0539021
ETH,Ethiopia,SSA,National,2018,HeadCount,UPL,5.5,0.871964,6.11676,0.8571108,5.917937,0.8462562,-0.0148532,-0.0257077999999999
FIN,Finland,OHI,National,2018,HeadCount,EPL,1.9,0.0006577773,2.195249,0.0006577773,2.308166,0.0006577773,0,0
FIN,Finland,OHI,National,2018,HeadCount,LPL,3.2,0.0008540169,3.642544,0.0008540169,3.988921,0.000872664,0,1.86471e-05
FIN,Finland,OHI,National,2018,HeadCount,UPL,5.5,0.00123269,6.11676,0.00123269,5.917937,0.001178947,0,-5.3743e-05
FJI,Fiji,EAP,National,2018,HeadCount,EPL,1.9,0.004805912,2.195249,0.001583049,2.308166,0.002117448,-0.003222863,-0.002688464
FJI,Fiji,EAP,National,2018,HeadCount,LPL,3.2,0.07472677,3.642544,0.0269885,3.988921,0.04278626,-0.04773827,-0.03194051
FJI,Fiji,EAP,National,2018,HeadCount,UPL,5.5,0.3585965,6.11676,0.1896485,5.917937,0.1734276,-0.168948,-0.1851689
FRA,France,OHI,National,2018,HeadCount,EPL,1.9,0.0001362595,2.195249,0.0001848354,2.308166,0.0001848354,4.85759e-05,4.85759e-05
FRA,France,OHI,National,2018,HeadCount,LPL,3.2,0.0002834128,3.642544,0.0003175891,3.988921,0.0003502021,3.41763e-05,6.67893e-05
FRA,France,OHI,National,2018,HeadCount,UPL,5.5,0.0006274098,6.11676,0.0006274098,5.917937,0.0005453187,0,-8.20911000000001e-05
FSM,"Micronesia, Federated States of",EAP,National,2018,HeadCount,EPL,1.9,0.1539292,2.195249,0.1692714,2.308166,0.1874429,0.0153422,0.0335137
FSM,"Micronesia, Federated States of",EAP,National,2018,HeadCount,LPL,3.2,0.3887995,3.642544,0.4084383,3.988921,0.4658647,0.0196388,0.0770652
FSM,"Micronesia, Federated States of",EAP,National,2018,HeadCount,UPL,5.5,0.6909485,6.11676,0.6985601,5.917937,0.686084,0.00761160000000005,-0.00486449999999994
GAB,Gabon,SSA,National,2018,HeadCount,EPL,1.9,0.03466373,2.195249,0.02768946,2.308166,0.03158559,-0.00697427,-0.00307814
GAB,Gabon,SSA,National,2018,HeadCount,LPL,3.2,0.1172348,3.642544,0.08551025,3.988921,0.1119851,-0.03172455,-0.0052497
GAB,Gabon,SSA,National,2018,HeadCount,UPL,5.5,0.3294114,6.11676,0.2697029,5.917937,0.2512499,-0.0597085,-0.0781615
GBR,United Kingdom,OHI,National,2018,HeadCount,EPL,1.9,0.001981104,2.195249,0.002102617,2.308166,0.002102617,0.000121513,0.000121513
GBR,United Kingdom,OHI,National,2018,HeadCount,LPL,3.2,0.003167623,3.642544,0.00334237,3.988921,0.003438525,0.000174747,0.000270902
GBR,United Kingdom,OHI,National,2018,HeadCount,UPL,5.5,0.004616206,6.11676,0.00475489,5.917937,0.004616206,0.000138684,0
GEO,Georgia,ECA,National,2018,HeadCount,EPL,1.9,0.04540559,2.195249,0.05994097,2.308166,0.06670489,0.01453538,0.0212993
GEO,Georgia,ECA,National,2018,HeadCount,LPL,3.2,0.1574771,3.642544,0.1951139,3.988921,0.2303755,0.0376368,0.0728984
GEO,Georgia,ECA,National,2018,HeadCount,UPL,5.5,0.4286822,6.11676,0.4684593,5.917937,0.4459843,0.0397771,0.0173021
GHA,Ghana,SSA,National,2018,HeadCount,EPL,1.9,0.1226565,2.195249,0.1694868,2.308166,0.1862137,0.0468303,0.0635572
GHA,Ghana,SSA,National,2018,HeadCount,LPL,3.2,0.284732,3.642544,0.3558499,3.988921,0.395228,0.0711179,0.110496
GHA,Ghana,SSA,National,2018,HeadCount,UPL,5.5,0.5402433,6.11676,0.6199257,5.917937,0.6019119,0.0796824,0.0616686000000001
GIN,Guinea,SSA,National,2018,HeadCount,EPL,1.9,0.2199472,2.195249,0.1239674,2.308166,0.1434035,-0.0959798,-0.0765437
GIN,Guinea,SSA,National,2018,HeadCount,LPL,3.2,0.5603681,3.642544,0.4007714,3.988921,0.4630456,-0.1595967,-0.0973225
GIN,Guinea,SSA,National,2018,HeadCount,UPL,5.5,0.8605202,6.11676,0.7380447,5.917937,0.719553,-0.1224755,-0.1409672
GMB,"Gambia, The",SSA,National,2018,HeadCount,EPL,1.9,0.08914419,2.195249,0.1255417,2.308166,0.1438482,0.03639751,0.05470401
GMB,"Gambia, The",SSA,National,2018,HeadCount,LPL,3.2,0.3465458,3.642544,0.4133546,3.988921,0.4782508,0.0668088,0.131705
GMB,"Gambia, The",SSA,National,2018,HeadCount,UPL,5.5,0.7023863,6.11676,0.7369848,5.917937,0.7227044,0.0345985,0.0203181
GNB,Guinea-Bissau,SSA,National,2018,HeadCount,EPL,1.9,0.6163996,2.195249,0.6268136,2.308166,0.6515456,0.0104139999999999,0.0351459999999999
GNB,Guinea-Bissau,SSA,National,2018,HeadCount,LPL,3.2,0.8205689,3.642544,0.8209007,3.988921,0.8410727,0.000331799999999993,0.0205038
GNB,Guinea-Bissau,SSA,National,2018,HeadCount,UPL,5.5,0.9187988,6.11676,0.9167741,5.917937,0.9130884,-0.00202469999999999,-0.0057104
GRC,Greece,OHI,National,2018,HeadCount,EPL,1.9,0.008727767,2.195249,0.008751357,2.308166,0.008994047,2.35899999999987e-05,0.000266279999999999
GRC,Greece,OHI,National,2018,HeadCount,LPL,3.2,0.01591985,3.642544,0.01591985,3.988921,0.01735589,0,0.00143604
GRC,Greece,OHI,National,2018,HeadCount,UPL,5.5,0.04323028,6.11676,0.04108619,5.917937,0.03895438,-0.00214409,-0.00427590000000001
GTM,Guatemala,LAC,National,2018,HeadCount,EPL,1.9,0.06965079,2.195249,0.07749292,2.308166,0.08778929,0.00784213,0.0181385
GTM,Guatemala,LAC,National,2018,HeadCount,LPL,3.2,0.2081442,3.642544,0.2205499,3.988921,0.2553553,0.0124057,0.0472111
GTM,Guatemala,LAC,National,2018,HeadCount,UPL,5.5,0.4392884,6.11676,0.4450681,5.917937,0.4292671,0.0057797,-0.0100213
GUY,Guyana,LAC,National,2018,HeadCount,EPL,1.9,0.05605751,2.195249,0.049325,2.308166,0.05442473,-0.00673251,-0.00163278
GUY,Guyana,LAC,National,2018,HeadCount,LPL,3.2,0.1343263,3.642544,0.1186563,3.988921,0.1364566,-0.01567,0.0021303
GUY,Guyana,LAC,National,2018,HeadCount,UPL,5.5,0.2924429,6.11676,0.2537331,5.917937,0.2423328,-0.0387098,-0.0501101
HND,Honduras,LAC,National,2018,HeadCount,EPL,1.9,0.1653414,2.195249,0.1573841,2.308166,0.1669495,-0.0079573,0.0016081
