CountryCode,ProjYear,p20,p80
CAN,2011,28.6017169248985,
CAF,2011,,3.26894256132933
TCD,2011,1.18988464268674,4.48207564618636
CHL,2011,6.79541462817777,
CHN,2011,2.90206594554911,10.7301087749814
COL,2011,3.59681306084064,16.7428466369442
COM,2011,,7.91903149870314
COD,2011,0.507353493607553,
COG,2011,1.17145919692441,5.04858947030183
CRI,2011,6.77812679287233,28.9487312705883
CIV,2011,1.27798961541137,4.44833269733452
HRV,2011,9.5494874346456,25.8362111176712
CYP,2011,25.7807779089075,60.8279025611411
CZE,2011,17.4207829503736,34.721346792629
DNK,2011,31.7046412758859,65.855154849412
DJI,2011,2.03395739286103,7.10010572512241
DOM,2011,4.32101386853936,16.6605075302146
ECU,2011,4.25243277074478,17.3137955931552
EGY,2011,3.08524204373522,6.53928657981983
SLV,2011,3.48612031020204,11.610026010132
EST,2011,12.4422371895108,31.5361753625452
SWZ,2011,1.22779576183397,5.74660956580437
ETH,2011,,
FJI,2011,4.1119316775388,11.3194628369689
FIN,2011,30.2127817832065,64.3526861780284
FRA,2011,28.1003488325311,
GAB,2011,,11.3964121084051
GMB,2011,1.62835872328142,5.15123666562438
GEO,2011,2.59525092102742,8.32146933420781
DEU,2011,28.8199639322674,68.5333719155977
GHA,2011,2.21286575857419,
GRC,2011,12.3222443498521,35.4202784931623
GTM,2011,2.76802407675808,11.8568439636536
GIN,2011,,3.36809387720801
GNB,2011,99.99940397351,99.99940397351
GUY,2011,3.67981436508297,13.4285950443583
HTI,2011,0.616683377891532,
HND,2011,,
HUN,2011,11.4683984985441,25.8972205254445
ISL,2011,27.1830411982785,57.881396918515
IND,2011,,4.36333202271134
IDN,2011,2.23731076064876,6.63963687615677
IRN,2011,7.22793046886141,23.35247864411
IRL,2011,22.351409323723,56.8517245218688
ITA,2011,20.9394710122271,57.5484091638305
JAM,2011,4.30147264092225,15.4045549309801
JPN,2011,25.7619868098819,61.8077193590324
JOR,2011,5.62478773619667,13.9542878980166
KAZ,2011,7.03742317988043,15.6729210201009
KEN,2011,1.27891664191661,4.32044982475288
KIR,2011,2.18876745536707,6.13681079290527
KOR,2011,20.8989616706781,52.1065191203758
XKX,2011,99.99940397351,99.99940397351
KGZ,2011,3.37804726904705,7.25581879518788
LAO,2011,1.81207340419495,4.68623575609913
LVA,2011,8.41080156102117,
LBN,2011,,34.0531731460884
