i,P,L,svy,year
11,0.12016,0.031525,CMR_3,2001
12,0.13035,0.035059,CMR_3,2001
13,0.14007,0.038518,CMR_3,2001
14,0.15028,0.042237,CMR_3,2001
15,0.16025,0.045969,CMR_3,2001
16,0.17006,0.049722,CMR_3,2001
17,0.18041,0.053775,CMR_3,2001
18,0.19063,0.057846,CMR_3,2001
19,0.20011,0.061714,CMR_3,2001
20,0.21008,0.065878,CMR_3,2001
21,0.22012,0.070152,CMR_3,2001
22,0.23007,0.07447,CMR_3,2001
23,0.24003,0.078873,CMR_3,2001
24,0.25,0.083367,CMR_3,2001
25,0.26007,0.087984,CMR_3,2001
26,0.27008,0.092667,CMR_3,2001
27,0.28064,0.097699,CMR_3,2001
28,0.2901,0.10228,CMR_3,2001
29,0.30013,0.10722,CMR_3,2001
30,0.31013,0.11221,CMR_3,2001
31,0.32001,0.11724,CMR_3,2001
32,0.33002,0.12244,CMR_3,2001
33,0.34028,0.12787,CMR_3,2001
34,0.35003,0.13312,CMR_3,2001
35,0.36008,0.13863,CMR_3,2001
36,0.37009,0.1442,CMR_3,2001
37,0.38002,0.14985,CMR_3,2001
38,0.39003,0.15566,CMR_3,2001
39,0.40009,0.1616,CMR_3,2001
40,0.41044,0.16784,CMR_3,2001
41,0.42003,0.17373,CMR_3,2001
42,0.43003,0.17999,CMR_3,2001
43,0.44007,0.18637,CMR_3,2001
44,0.45004,0.19283,CMR_3,2001
45,0.46015,0.1995,CMR_3,2001
46,0.47004,0.20611,CMR_3,2001
47,0.48003,0.21288,CMR_3,2001
48,0.49022,0.21991,CMR_3,2001
49,0.5,0.22676,CMR_3,2001
50,0.51001,0.2339,CMR_3,2001
51,0.52,0.24115,CMR_3,2001
52,0.53003,0.24854,CMR_3,2001
53,0.54024,0.25621,CMR_3,2001
54,0.55001,0.26366,CMR_3,2001
55,0.56008,0.27146,CMR_3,2001
56,0.57002,0.2793,CMR_3,2001
57,0.58003,0.28735,CMR_3,2001
58,0.59008,0.2956,CMR_3,2001
59,0.60002,0.30389,CMR_3,2001
60,0.61009,0.31244,CMR_3,2001
61,0.62003,0.32103,CMR_3,2001
62,0.63017,0.32993,CMR_3,2001
63,0.64011,0.3388,CMR_3,2001
64,0.65004,0.34782,CMR_3,2001
65,0.66001,0.35704,CMR_3,2001
66,0.67014,0.36661,CMR_3,2001
67,0.68004,0.37616,CMR_3,2001
68,0.69009,0.38607,CMR_3,2001
69,0.70009,0.39612,CMR_3,2001
70,0.71004,0.40629,CMR_3,2001
71,0.72001,0.41672,CMR_3,2001
72,0.73003,0.42746,CMR_3,2001
73,0.74019,0.43859,CMR_3,2001
74,0.75,0.44957,CMR_3,2001
75,0.76003,0.46107,CMR_3,2001
76,0.77003,0.47282,CMR_3,2001
77,0.78008,0.48494,CMR_3,2001
78,0.79005,0.49727,CMR_3,2001
79,0.80002,0.50998,CMR_3,2001
80,0.81,0.52316,CMR_3,2001
81,0.82002,0.53682,CMR_3,2001
82,0.83002,0.55085,CMR_3,2001
83,0.84001,0.5653,CMR_3,2001
84,0.85007,0.58035,CMR_3,2001
85,0.86,0.59577,CMR_3,2001
86,0.87005,0.6119,CMR_3,2001
87,0.88005,0.62844,CMR_3,2001
88,0.89002,0.6456,CMR_3,2001
89,0.90009,0.6637,CMR_3,2001
90,0.91016,0.68276,CMR_3,2001
91,0.92001,0.70238,CMR_3,2001
92,0.93005,0.72364,CMR_3,2001
93,0.94002,0.74634,CMR_3,2001
94,0.95001,0.77088,CMR_3,2001
95,0.96009,0.79821,CMR_3,2001
96,0.97001,0.82818,CMR_3,2001
97,0.9801,0.86298,CMR_3,2001
98,0.99005,0.90501,CMR_3,2001
99,1,1,CMR_3,2001
0,0.010002,0.001992,CMR_3,2007
1,0.020449,0.0042076,CMR_3,2007
2,0.030226,0.0063934,CMR_3,2007
3,0.0404,0.0087768,CMR_3,2007
4,0.050293,0.011176,CMR_3,2007
5,0.060058,0.013633,CMR_3,2007
6,0.070065,0.016256,CMR_3,2007
7,0.080995,0.019216,CMR_3,2007
8,0.090075,0.021741,CMR_3,2007
9,0.10003,0.024579,CMR_3,2007
10,0.11009,0.02754,CMR_3,2007
11,0.12005,0.030567,CMR_3,2007
12,0.13035,0.033788,CMR_3,2007
13,0.14007,0.036927,CMR_3,2007
14,0.15002,0.04024,CMR_3,2007
15,0.16006,0.043684,CMR_3,2007
16,0.17025,0.047284,CMR_3,2007
17,0.18001,0.050796,CMR_3,2007
18,0.19028,0.05458,CMR_3,2007
19,0.20015,0.058309,CMR_3,2007
20,0.21014,0.062167,CMR_3,2007
21,0.22016,0.066123,CMR_3,2007
22,0.23009,0.070136,CMR_3,2007
23,0.24016,0.074287,CMR_3,2007
24,0.25029,0.078548,CMR_3,2007
25,0.26006,0.082733,CMR_3,2007
26,0.27003,0.087125,CMR_3,2007
27,0.28013,0.09169,CMR_3,2007
28,0.29016,0.096307,CMR_3,2007
29,0.30005,0.10094,CMR_3,2007
30,0.31004,0.1057,CMR_3,2007
31,0.32009,0.1106,CMR_3,2007
32,0.33006,0.11555,CMR_3,2007
33,0.34003,0.12058,CMR_3,2007
34,0.35003,0.12572,CMR_3,2007
35,0.36001,0.13098,CMR_3,2007
36,0.37011,0.1364,CMR_3,2007
37,0.38018,0.14193,CMR_3,2007
38,0.39005,0.14748,CMR_3,2007
39,0.40005,0.15319,CMR_3,2007
40,0.41017,0.15907,CMR_3,2007
41,0.42004,0.16489,CMR_3,2007
42,0.4301,0.17094,CMR_3,2007
43,0.44,0.177,CMR_3,2007
44,0.45001,0.18323,CMR_3,2007
45,0.46008,0.1896,CMR_3,2007
46,0.47003,0.19601,CMR_3,2007
47,0.48004,0.20259,CMR_3,2007
48,0.49029,0.20947,CMR_3,2007
49,0.5002,0.21624,CMR_3,2007
50,0.5101,0.22317,CMR_3,2007
51,0.52006,0.2303,CMR_3,2007
52,0.53,0.23756,CMR_3,2007
53,0.54021,0.24519,CMR_3,2007
54,0.55063,0.25316,CMR_3,2007
55,0.56004,0.26049,CMR_3,2007
56,0.57009,0.26846,CMR_3,2007
57,0.58022,0.27667,CMR_3,2007
58,0.59002,0.28477,CMR_3,2007
59,0.60025,0.29338,CMR_3,2007
60,0.61005,0.30181,CMR_3,2007
61,0.62007,0.31061,CMR_3,2007
62,0.63004,0.31954,CMR_3,2007
63,0.64014,0.32878,CMR_3,2007
64,0.65013,0.33817,CMR_3,2007
65,0.66022,0.34788,CMR_3,2007
66,0.67003,0.35751,CMR_3,2007
67,0.68002,0.36756,CMR_3,2007
68,0.69009,0.37792,CMR_3,2007
69,0.70019,0.38856,CMR_3,2007
70,0.71014,0.39927,CMR_3,2007
71,0.72003,0.41015,CMR_3,2007
72,0.73003,0.42136,CMR_3,2007
73,0.74009,0.43297,CMR_3,2007
74,0.7503,0.44509,CMR_3,2007
75,0.76018,0.45711,CMR_3,2007
76,0.77001,0.46934,CMR_3,2007
77,0.78004,0.48214,CMR_3,2007
78,0.79006,0.49523,CMR_3,2007
79,0.80007,0.50868,CMR_3,2007
80,0.81005,0.52248,CMR_3,2007
81,0.8201,0.53677,CMR_3,2007
82,0.83004,0.55133,CMR_3,2007
83,0.84,0.56633,CMR_3,2007
84,0.85012,0.58212,CMR_3,2007
85,0.86007,0.59819,CMR_3,2007
86,0.87009,0.61503,CMR_3,2007
87,0.88001,0.63238,CMR_3,2007
88,0.89004,0.65063,CMR_3,2007
89,0.90001,0.66965,CMR_3,2007
90,0.91006,0.68982,CMR_3,2007
91,0.92001,0.71083,CMR_3,2007
92,0.93002,0.73336,CMR_3,2007
93,0.94005,0.75754,CMR_3,2007
94,0.95001,0.78348,CMR_3,2007
95,0.96003,0.81199,CMR_3,2007
96,0.97003,0.84338,CMR_3,2007
97,0.9801,0.87946,CMR_3,2007
98,0.99018,0.92395,CMR_3,2007
99,1,1,CMR_3,2007
0,0.010507,0.00099259,CMR_3,2014
1,0.020016,0.0022004,CMR_3,2014
2,0.030363,0.0036966,CMR_3,2014
3,0.040185,0.0052597,CMR_3,2014
4,0.05011,0.0069575,CMR_3,2014
5,0.060079,0.0087739,CMR_3,2014
6,0.070312,0.010757,CMR_3,2014
7,0.080188,0.012809,CMR_3,2014
8,0.090011,0.014934,CMR_3,2014
9,0.10014,0.017247,CMR_3,2014
10,0.11005,0.019598,CMR_3,2014
11,0.12006,0.022084,CMR_3,2014
12,0.13005,0.024657,CMR_3,2014
13,0.14003,0.027311,CMR_3,2014
14,0.15015,0.03009,CMR_3,2014
15,0.16004,0.032892,CMR_3,2014
16,0.17072,0.036021,CMR_3,2014
17,0.18014,0.038865,CMR_3,2014
18,0.19007,0.041957,CMR_3,2014
19,0.20013,0.045177,CMR_3,2014
20,0.21011,0.04844,CMR_3,2014
21,0.22006,0.051777,CMR_3,2014
22,0.23018,0.055268,CMR_3,2014
23,0.24002,0.058757,CMR_3,2014
24,0.25001,0.062376,CMR_3,2014
25,0.26028,0.066197,CMR_3,2014
26,0.27006,0.069937,CMR_3,2014
27,0.28006,0.073854,CMR_3,2014
28,0.29016,0.07793,CMR_3,2014
29,0.30007,0.082032,CMR_3,2014
30,0.31004,0.086268,CMR_3,2014
31,0.32012,0.090657,CMR_3,2014
32,0.33003,0.095086,CMR_3,2014
33,0.34006,0.099695,CMR_3,2014
34,0.35,0.1044,CMR_3,2014
35,0.36004,0.10926,CMR_3,2014
36,0.37007,0.11423,CMR_3,2014
37,0.38016,0.11934,CMR_3,2014
38,0.39002,0.12446,CMR_3,2014
39,0.40026,0.12993,CMR_3,2014
40,0.41,0.13526,CMR_3,2014
41,0.42004,0.14089,CMR_3,2014
42,0.4303,0.14678,CMR_3,2014
43,0.44006,0.15251,CMR_3,2014
44,0.4501,0.15852,CMR_3,2014
45,0.46012,0.16467,CMR_3,2014
46,0.47024,0.17103,CMR_3,2014
47,0.48029,0.17751,CMR_3,2014
48,0.49012,0.18398,CMR_3,2014
49,0.50026,0.19078,CMR_3,2014
50,0.51001,0.19743,CMR_3,2014
51,0.52,0.20442,CMR_3,2014
52,0.53005,0.21165,CMR_3,2014
53,0.54002,0.21899,CMR_3,2014
54,0.55021,0.22664,CMR_3,2014
55,0.56023,0.23432,CMR_3,2014
56,0.57002,0.24199,CMR_3,2014
57,0.5803,0.25027,CMR_3,2014
58,0.5901,0.25834,CMR_3,2014
59,0.60002,0.26668,CMR_3,2014
60,0.61002,0.27527,CMR_3,2014
61,0.62006,0.28409,CMR_3,2014
62,0.63013,0.29315,CMR_3,2014
63,0.64004,0.30228,CMR_3,2014
64,0.65006,0.31174,CMR_3,2014
65,0.66003,0.32138,CMR_3,2014
66,0.67003,0.33123,CMR_3,2014
67,0.68023,0.34148,CMR_3,2014
68,0.69003,0.35154,CMR_3,2014
69,0.70007,0.36208,CMR_3,2014
70,0.71005,0.3728,CMR_3,2014
71,0.72002,0.38376,CMR_3,2014
72,0.73003,0.39504,CMR_3,2014
73,0.74005,0.40662,CMR_3,2014
74,0.7501,0.41854,CMR_3,2014
75,0.76004,0.43062,CMR_3,2014
76,0.77006,0.44318,CMR_3,2014
77,0.78004,0.45601,CMR_3,2014
78,0.79003,0.4692,CMR_3,2014
79,0.80007,0.48289,CMR_3,2014
80,0.81,0.49682,CMR_3,2014
81,0.82015,0.51161,CMR_3,2014
82,0.8301,0.52661,CMR_3,2014
83,0.84001,0.54207,CMR_3,2014
84,0.85002,0.55832,CMR_3,2014
85,0.86002,0.57509,CMR_3,2014
86,0.87002,0.59253,CMR_3,2014
87,0.88,0.61057,CMR_3,2014
88,0.8903,0.63012,CMR_3,2014
89,0.90021,0.65,CMR_3,2014
90,0.91001,0.67056,CMR_3,2014
91,0.92008,0.69296,CMR_3,2014
92,0.93001,0.71634,CMR_3,2014
93,0.94004,0.74184,CMR_3,2014
94,0.95001,0.76928,CMR_3,2014
95,0.96001,0.79944,CMR_3,2014
96,0.97005,0.8333,CMR_3,2014
97,0.98,0.87268,CMR_3,2014
98,0.99001,0.92025,CMR_3,2014
99,1,1,CMR_3,2014
0,0.052472,0.01005,CAN_3,1981
1,0.10245,0.027183,CAN_3,1981
2,0.15238,0.048694,CAN_3,1981
3,0.2025,0.073838,CAN_3,1981
4,0.25247,0.10202,CAN_3,1981
5,0.30246,0.13274,CAN_3,1981
6,0.35224,0.16567,CAN_3,1981
7,0.40248,0.20124,CAN_3,1981
8,0.45241,0.23935,CAN_3,1981
9,0.50244,0.28041,CAN_3,1981
10,0.55246,0.32447,CAN_3,1981
11,0.60246,0.37154,CAN_3,1981
12,0.65249,0.42236,CAN_3,1981
13,0.70245,0.4775,CAN_3,1981
14,0.75234,0.53758,CAN_3,1981
15,0.80242,0.60402,CAN_3,1981
16,0.85246,0.678,CAN_3,1981
17,0.90249,0.76148,CAN_3,1981
18,0.95248,0.86096,CAN_3,1981
19,1,1,CAN_3,1981
0,0.052475,0.011366,CAN_3,1987
1,0.10248,0.02924,CAN_3,1987
2,0.15232,0.051472,CAN_3,1987
3,0.20245,0.077272,CAN_3,1987
4,0.25243,0.10588,CAN_3,1987
5,0.30244,0.13724,CAN_3,1987
6,0.35249,0.17115,CAN_3,1987
7,0.40215,0.20702,CAN_3,1987
8,0.45248,0.24579,CAN_3,1987
9,0.50238,0.2871,CAN_3,1987
10,0.5524,0.33134,CAN_3,1987
11,0.60247,0.37876,CAN_3,1987
12,0.65243,0.42948,CAN_3,1987
13,0.70213,0.48426,CAN_3,1987
14,0.75228,0.54437,CAN_3,1987
15,0.80249,0.61012,CAN_3,1987
16,0.85228,0.6828,CAN_3,1987
17,0.90244,0.76558,CAN_3,1987
18,0.95243,0.86393,CAN_3,1987
19,1,1,CAN_3,1987
0,0.052482,0.011891,CAN_3,1991
1,0.10245,0.029967,CAN_3,1991
2,0.15248,0.052512,CAN_3,1991
3,0.20236,0.078259,CAN_3,1991
4,0.25246,0.10711,CAN_3,1991
5,0.30248,0.13875,CAN_3,1991
6,0.35248,0.17298,CAN_3,1991
7,0.4025,0.20962,CAN_3,1991
8,0.4522,0.24848,CAN_3,1991
9,0.50247,0.29026,CAN_3,1991
10,0.55244,0.33476,CAN_3,1991
11,0.60248,0.38244,CAN_3,1991
12,0.65244,0.43364,CAN_3,1991
13,0.70249,0.48897,CAN_3,1991
14,0.75238,0.54877,CAN_3,1991
15,0.8025,0.61425,CAN_3,1991
16,0.85247,0.68643,CAN_3,1991
17,0.90245,0.76798,CAN_3,1991
18,0.95249,0.86416,CAN_3,1991
19,1,1,CAN_3,1991
0,0.05245,0.011731,CAN_3,1994
1,0.1025,0.02979,CAN_3,1994
2,0.15249,0.051982,CAN_3,1994
3,0.20248,0.077564,CAN_3,1994
4,0.25247,0.10613,CAN_3,1994
5,0.30249,0.13744,CAN_3,1994
6,0.35249,0.17135,CAN_3,1994
7,0.4025,0.20784,CAN_3,1994
8,0.45249,0.24676,CAN_3,1994
9,0.5025,0.28841,CAN_3,1994
10,0.5525,0.33304,CAN_3,1994
11,0.60249,0.38079,CAN_3,1994
12,0.6525,0.4317,CAN_3,1994
13,0.70247,0.48648,CAN_3,1994
14,0.7525,0.54626,CAN_3,1994
15,0.80243,0.61197,CAN_3,1994
16,0.85249,0.68515,CAN_3,1994
17,0.90248,0.76793,CAN_3,1994
18,0.95249,0.86539,CAN_3,1994
19,1,1,CAN_3,1994
0,0.052464,0.010856,CAN_3,1997
1,0.10245,0.028379,CAN_3,1997
2,0.15246,0.049994,CAN_3,1997
3,0.20249,0.075063,CAN_3,1997
4,0.25249,0.1032,CAN_3,1997
5,0.3024,0.13422,CAN_3,1997
6,0.35243,0.16809,CAN_3,1997
7,0.40249,0.20472,CAN_3,1997
8,0.45246,0.24405,CAN_3,1997
9,0.50248,0.28623,CAN_3,1997
10,0.5525,0.33119,CAN_3,1997
11,0.60247,0.37928,CAN_3,1997
12,0.6525,0.43072,CAN_3,1997
13,0.70242,0.48584,CAN_3,1997
14,0.75245,0.54548,CAN_3,1997
15,0.80246,0.61078,CAN_3,1997
16,0.85243,0.68343,CAN_3,1997
17,0.90247,0.76583,CAN_3,1997
18,0.95245,0.86305,CAN_3,1997
19,1,1,CAN_3,1997
0,0.052474,0.010667,CAN_3,1998
1,0.10246,0.027592,CAN_3,1998
2,0.15244,0.048398,CAN_3,1998
3,0.20248,0.072649,CAN_3,1998
4,0.25236,0.099958,CAN_3,1998
5,0.30248,0.13034,CAN_3,1998
6,0.35246,0.16334,CAN_3,1998
7,0.40243,0.19896,CAN_3,1998
8,0.45249,0.23729,CAN_3,1998
9,0.50243,0.27824,CAN_3,1998
10,0.55248,0.32207,CAN_3,1998
11,0.60246,0.36911,CAN_3,1998
12,0.6525,0.41979,CAN_3,1998
13,0.70244,0.47432,CAN_3,1998
14,0.75241,0.53343,CAN_3,1998
15,0.80247,0.59797,CAN_3,1998
16,0.85228,0.66943,CAN_3,1998
17,0.9025,0.75096,CAN_3,1998
18,0.95249,0.84788,CAN_3,1998
19,1,1,CAN_3,1998
0,0.052455,0.010854,CAN_3,2000
1,0.10245,0.02756,CAN_3,2000
2,0.15249,0.048231,CAN_3,2000
3,0.20249,0.072432,CAN_3,2000
4,0.25249,0.099773,CAN_3,2000
5,0.30249,0.12982,CAN_3,2000
6,0.3525,0.1625,CAN_3,2000
7,0.40246,0.1979,CAN_3,2000
8,0.45247,0.23622,CAN_3,2000
9,0.50233,0.27723,CAN_3,2000
10,0.55248,0.32127,CAN_3,2000
11,0.6025,0.36823,CAN_3,2000
12,0.65249,0.41848,CAN_3,2000
13,0.70249,0.47303,CAN_3,2000
14,0.75248,0.53211,CAN_3,2000
15,0.80233,0.59654,CAN_3,2000
16,0.85244,0.66808,CAN_3,2000
17,0.9025,0.74879,CAN_3,2000
18,0.95247,0.84547,CAN_3,2000
19,1,1,CAN_3,2000
0,0.052397,0.010496,CAN_3,2004
1,0.1025,0.02699,CAN_3,2004
2,0.15249,0.047303,CAN_3,2004
3,0.20242,0.070974,CAN_3,2004
4,0.25249,0.097897,CAN_3,2004
5,0.30248,0.12764,CAN_3,2004
6,0.35244,0.16006,CAN_3,2004
7,0.40248,0.19518,CAN_3,2004
8,0.45246,0.23309,CAN_3,2004
9,0.50249,0.27389,CAN_3,2004
10,0.55247,0.31757,CAN_3,2004
11,0.60247,0.36434,CAN_3,2004
12,0.65249,0.41489,CAN_3,2004
13,0.7025,0.46954,CAN_3,2004
14,0.75249,0.529,CAN_3,2004
15,0.80249,0.59418,CAN_3,2004
16,0.85247,0.66637,CAN_3,2004
17,0.9025,0.74839,CAN_3,2004
18,0.95246,0.84617,CAN_3,2004
19,1,1,CAN_3,2004
0,0.052489,0.011172,CAN_3,2007
1,0.10243,0.028243,CAN_3,2007
2,0.15248,0.049096,CAN_3,2007
3,0.2025,0.073174,CAN_3,2007
4,0.25249,0.10015,CAN_3,2007
5,0.30249,0.12972,CAN_3,2007
6,0.3525,0.16195,CAN_3,2007
7,0.40244,0.19673,CAN_3,2007
8,0.45239,0.23403,CAN_3,2007
9,0.5025,0.27429,CAN_3,2007
10,0.55247,0.31735,CAN_3,2007
11,0.60249,0.36371,CAN_3,2007
12,0.6525,0.41356,CAN_3,2007
13,0.70249,0.46752,CAN_3,2007
14,0.75244,0.52624,CAN_3,2007
15,0.8025,0.59083,CAN_3,2007
16,0.8525,0.66264,CAN_3,2007
17,0.90248,0.74388,CAN_3,2007
18,0.95248,0.84195,CAN_3,2007
19,1,1,CAN_3,2007
0,0.052478,0.011137,CAN_3,2010
1,0.1022,0.028057,CAN_3,2010
2,0.15247,0.048726,CAN_3,2010
3,0.20249,0.072712,CAN_3,2010
4,0.25241,0.099781,CAN_3,2010
5,0.30249,0.12968,CAN_3,2010
6,0.35248,0.16216,CAN_3,2010
7,0.40249,0.19727,CAN_3,2010
8,0.45246,0.23504,CAN_3,2010
9,0.50247,0.27559,CAN_3,2010
10,0.5525,0.31902,CAN_3,2010
11,0.60239,0.36555,CAN_3,2010
12,0.65249,0.41576,CAN_3,2010
13,0.70231,0.47002,CAN_3,2010
14,0.75237,0.52917,CAN_3,2010
15,0.80249,0.59394,CAN_3,2010
16,0.85237,0.66527,CAN_3,2010
17,0.90247,0.7467,CAN_3,2010
18,0.95239,0.84385,CAN_3,2010
19,1,1,CAN_3,2010
0,0.052496,0.0091697,CAN_3,2013
1,0.10242,0.024461,CAN_3,2013
2,0.1525,0.043902,CAN_3,2013
3,0.20242,0.067106,CAN_3,2013
4,0.25233,0.093649,CAN_3,2013
5,0.30211,0.1232,CAN_3,2013
6,0.35245,0.15593,CAN_3,2013
7,0.4025,0.19111,CAN_3,2013
8,0.45244,0.22909,CAN_3,2013
9,0.50247,0.27016,CAN_3,2013
10,0.55236,0.31415,CAN_3,2013
11,0.60249,0.36193,CAN_3,2013
12,0.6525,0.41343,CAN_3,2013
13,0.70249,0.46915,CAN_3,2013
14,0.7525,0.52978,CAN_3,2013
15,0.80246,0.59583,CAN_3,2013
16,0.85249,0.66884,CAN_3,2013
17,0.90239,0.75139,CAN_3,2013
18,0.95249,0.85119,CAN_3,2013
19,1,1,CAN_3,2013
1,0.1,0.006125191,CAF_3,1992.43
2,0.2,0.02011738,CAF_3,1992.43
3,0.3,0.04109367,CAF_3,1992.43
4,0.4,0.06977747,CAF_3,1992.43
5,0.5,0.1087658,CAF_3,1992.43
6,0.6,0.1634648,CAF_3,1992.43
7,0.7,0.2405802,CAF_3,1992.43
8,0.8,0.352659,CAF_3,1992.43
9,0.9,0.5215558,CAF_3,1992.43
10,1,1,CAF_3,1992.43
0,0.010118,0.0012698,CAF_3,2003
1,0.020062,0.0027352,CAF_3,2003
2,0.030215,0.0044284,CAF_3,2003
3,0.040022,0.0062458,CAF_3,2003
4,0.050237,0.0082828,CAF_3,2003
5,0.060133,0.010401,CAF_3,2003
6,0.070237,0.012683,CAF_3,2003
7,0.080066,0.015063,CAF_3,2003
8,0.090089,0.017612,CAF_3,2003
9,0.10012,0.020268,CAF_3,2003
10,0.11001,0.023002,CAF_3,2003
11,0.12026,0.025924,CAF_3,2003
12,0.13026,0.028861,CAF_3,2003
13,0.1401,0.031842,CAF_3,2003
14,0.15006,0.034952,CAF_3,2003
15,0.16033,0.03827,CAF_3,2003
16,0.17005,0.041508,CAF_3,2003
17,0.18003,0.044913,CAF_3,2003
18,0.19047,0.048576,CAF_3,2003
19,0.20016,0.052097,CAF_3,2003
20,0.21004,0.055799,CAF_3,2003
21,0.22001,0.059648,CAF_3,2003
22,0.23027,0.063711,CAF_3,2003
23,0.24014,0.067706,CAF_3,2003
24,0.25011,0.071824,CAF_3,2003
25,0.26015,0.07607,CAF_3,2003
26,0.27025,0.080427,CAF_3,2003
27,0.28,0.084726,CAF_3,2003
28,0.29035,0.089386,CAF_3,2003
29,0.30029,0.093972,CAF_3,2003
30,0.31016,0.098624,CAF_3,2003
31,0.32014,0.10345,CAF_3,2003
32,0.33001,0.10833,CAF_3,2003
33,0.34011,0.11345,CAF_3,2003
34,0.35004,0.1186,CAF_3,2003
35,0.36036,0.12407,CAF_3,2003
36,0.37028,0.12946,CAF_3,2003
37,0.38011,0.13492,CAF_3,2003
38,0.39039,0.14073,CAF_3,2003
39,0.40009,0.14631,CAF_3,2003
40,0.41042,0.15235,CAF_3,2003
41,0.42,0.1581,CAF_3,2003
42,0.4302,0.16434,CAF_3,2003
43,0.44024,0.17062,CAF_3,2003
44,0.45036,0.17704,CAF_3,2003
45,0.46004,0.1833,CAF_3,2003
46,0.47008,0.18992,CAF_3,2003
47,0.48005,0.1966,CAF_3,2003
48,0.49028,0.2036,CAF_3,2003
49,0.50002,0.21039,CAF_3,2003
50,0.51022,0.21763,CAF_3,2003
51,0.52002,0.22472,CAF_3,2003
52,0.53034,0.23234,CAF_3,2003
53,0.54022,0.23978,CAF_3,2003
54,0.5502,0.24745,CAF_3,2003
55,0.56007,0.25516,CAF_3,2003
56,0.57015,0.26321,CAF_3,2003
57,0.58002,0.2713,CAF_3,2003
58,0.59018,0.27982,CAF_3,2003
59,0.60016,0.28836,CAF_3,2003
60,0.61009,0.29699,CAF_3,2003
61,0.62029,0.30609,CAF_3,2003
62,0.63038,0.31528,CAF_3,2003
63,0.64021,0.32447,CAF_3,2003
64,0.65005,0.33388,CAF_3,2003
65,0.66005,0.34365,CAF_3,2003
66,0.67006,0.35365,CAF_3,2003
67,0.68027,0.36411,CAF_3,2003
68,0.69027,0.37457,CAF_3,2003
69,0.70026,0.38522,CAF_3,2003
70,0.71001,0.3958,CAF_3,2003
71,0.7203,0.4072,CAF_3,2003
72,0.73003,0.41824,CAF_3,2003
73,0.74017,0.42998,CAF_3,2003
74,0.75011,0.44182,CAF_3,2003
75,0.76003,0.45387,CAF_3,2003
76,0.77011,0.46644,CAF_3,2003
77,0.78002,0.4791,CAF_3,2003
78,0.79,0.4923,CAF_3,2003
79,0.80004,0.50603,CAF_3,2003
80,0.81002,0.52007,CAF_3,2003
81,0.82005,0.53459,CAF_3,2003
82,0.83035,0.54997,CAF_3,2003
83,0.84011,0.56498,CAF_3,2003
84,0.85001,0.58068,CAF_3,2003
85,0.86,0.59706,CAF_3,2003
86,0.87004,0.6141,CAF_3,2003
87,0.88012,0.632,CAF_3,2003
88,0.89002,0.65043,CAF_3,2003
89,0.9,0.66991,CAF_3,2003
90,0.91005,0.69043,CAF_3,2003
91,0.92003,0.71191,CAF_3,2003
92,0.93019,0.73534,CAF_3,2003
93,0.94004,0.75969,CAF_3,2003
94,0.95037,0.78711,CAF_3,2003
95,0.96012,0.81504,CAF_3,2003
96,0.97007,0.84715,CAF_3,2003
97,0.98014,0.88387,CAF_3,2003
98,0.99007,0.92701,CAF_3,2003
99,1,1,CAF_3,2003
0,0.010115,0.00051074,CAF_3,2008
1,0.02001,0.0012763,CAF_3,2008
2,0.030205,0.0022765,CAF_3,2008
3,0.040035,0.0033857,CAF_3,2008
4,0.05,0.0046151,CAF_3,2008
5,0.060168,0.0059569,CAF_3,2008
6,0.070001,0.0073371,CAF_3,2008
7,0.080774,0.0089398,CAF_3,2008
8,0.090132,0.010419,CAF_3,2008
9,0.10007,0.012096,CAF_3,2008
10,0.11026,0.013896,CAF_3,2008
11,0.12016,0.015716,CAF_3,2008
12,0.13,0.017624,CAF_3,2008
13,0.14012,0.019643,CAF_3,2008
14,0.15002,0.021695,CAF_3,2008
15,0.16022,0.023909,CAF_3,2008
16,0.17003,0.026114,CAF_3,2008
17,0.18014,0.028461,CAF_3,2008
18,0.1904,0.030937,CAF_3,2008
19,0.20023,0.033393,CAF_3,2008
20,0.21015,0.035956,CAF_3,2008
21,0.22001,0.038611,CAF_3,2008
22,0.23015,0.041428,CAF_3,2008
23,0.24029,0.044337,CAF_3,2008
24,0.25003,0.047228,CAF_3,2008
25,0.26011,0.050322,CAF_3,2008
26,0.2703,0.053555,CAF_3,2008
27,0.2803,0.056816,CAF_3,2008
28,0.29006,0.060089,CAF_3,2008
29,0.30002,0.063532,CAF_3,2008
30,0.31037,0.067208,CAF_3,2008
31,0.32038,0.07086,CAF_3,2008
32,0.33005,0.074474,CAF_3,2008
33,0.34001,0.07828,CAF_3,2008
34,0.3504,0.082354,CAF_3,2008
35,0.36008,0.086224,CAF_3,2008
36,0.37032,0.090415,CAF_3,2008
37,0.38006,0.094513,CAF_3,2008
38,0.39038,0.098978,CAF_3,2008
39,0.40003,0.10326,CAF_3,2008
40,0.41001,0.1078,CAF_3,2008
41,0.42002,0.11247,CAF_3,2008
42,0.43017,0.11731,CAF_3,2008
43,0.4402,0.12221,CAF_3,2008
44,0.4501,0.12713,CAF_3,2008
45,0.46012,0.13219,CAF_3,2008
46,0.47011,0.13734,CAF_3,2008
47,0.48006,0.14256,CAF_3,2008
48,0.49005,0.14789,CAF_3,2008
49,0.50042,0.15353,CAF_3,2008
50,0.51027,0.15902,CAF_3,2008
